"(p,q,P,Q)",AIC
"(2, 3, 3, 3)",1358594.527466511
"(2, 3, 3, 2)",1359306.1961524363
"(2, 3, 2, 3)",1359694.3765125468
"(3, 3, 3, 3)",1361081.717892873
"(3, 3, 3, 2)",1363622.4753800463
"(3, 3, 2, 3)",1364947.805586899
"(3, 2, 3, 3)",1365135.98831281
"(3, 2, 2, 3)",1366484.5689896336
"(3, 2, 3, 2)",1366891.5490161132
"(2, 1, 3, 2)",1367377.809585136
"(3, 3, 2, 2)",1367568.104607478
"(2, 2, 2, 2)",1367668.383177935
"(2, 1, 2, 3)",1367695.1712524549
"(3, 2, 2, 2)",1368014.7389162888
"(2, 1, 3, 3)",1368401.8405443435
"(2, 2, 3, 2)",1369063.3928606573
"(2, 2, 2, 3)",1370034.9113431638
"(2, 2, 3, 3)",1370199.9226453092
"(2, 1, 2, 2)",1370424.2112313593
"(3, 0, 3, 3)",1371139.1285458398
"(3, 1, 3, 3)",1371323.3897602025
"(3, 1, 3, 2)",1371471.4718038023
"(3, 1, 2, 3)",1371485.312762457
"(3, 0, 3, 2)",1371538.3893957022
"(3, 0, 2, 3)",1371554.2947118306
"(1, 3, 3, 3)",1371655.2737956464
"(2, 0, 3, 2)",1371879.7512562587
"(2, 0, 2, 3)",1371882.8151354056
"(2, 0, 3, 3)",1372047.7996950084
"(1, 0, 3, 3)",1372236.889789061
"(1, 1, 2, 3)",1372284.5094941568
"(1, 1, 3, 3)",1372290.1911136953
"(1, 1, 3, 2)",1372377.6027718731
"(1, 3, 3, 2)",1372428.7614826905
"(3, 1, 2, 2)",1372558.253645788
"(1, 2, 3, 3)",1372563.4641745149
"(1, 2, 3, 2)",1372639.5004389156
"(3, 0, 2, 2)",1372667.0864518438
"(1, 2, 2, 3)",1372771.4831706963
"(1, 0, 3, 2)",1372917.8345121809
"(1, 0, 2, 3)",1373002.9596458995
"(2, 0, 2, 2)",1373188.2811533595
"(1, 3, 2, 2)",1373429.511740727
"(1, 1, 2, 2)",1373601.056011377
"(1, 2, 2, 2)",1373862.0371794747
"(2, 3, 2, 2)",1373960.1519853072
"(1, 0, 2, 2)",1374244.926226781
"(2, 3, 3, 1)",1376846.704151198
"(2, 3, 3, 0)",1377227.788058796
"(1, 3, 2, 3)",1378321.3642924158
"(0, 3, 3, 2)",1379706.1789688899
"(0, 2, 3, 3)",1380348.3381109468
"(0, 3, 3, 3)",1380491.8508094917
"(2, 2, 1, 3)",1380530.0391907175
"(0, 2, 2, 3)",1380581.4096505754
"(0, 2, 3, 2)",1380667.2282672417
"(0, 3, 2, 3)",1380887.4710257947
"(3, 1, 1, 3)",1380913.7269639452
"(3, 3, 3, 1)",1381191.4126037802
"(0, 2, 2, 2)",1381458.0056756274
"(2, 2, 1, 1)",1382073.0254973203
"(3, 1, 1, 2)",1382152.798619843
"(3, 3, 3, 0)",1382243.2190713608
"(0, 3, 2, 2)",1382658.7427547993
"(3, 2, 3, 1)",1383370.7307916745
"(3, 2, 3, 0)",1383580.3878445965
"(3, 1, 3, 1)",1383872.7827684786
"(2, 1, 3, 1)",1383874.5608499271
"(2, 1, 3, 0)",1384065.5434722053
"(3, 1, 3, 0)",1384066.0637045586
"(3, 3, 1, 3)",1384270.8828723459
"(3, 3, 0, 3)",1384275.9541817256
"(2, 3, 1, 3)",1384306.0576508103
"(2, 3, 0, 3)",1384310.026500742
"(3, 2, 1, 3)",1384318.1385796282
"(3, 2, 0, 3)",1384323.032597046
"(3, 3, 2, 1)",1384359.7465532054
"(2, 3, 2, 1)",1384373.4891615782
"(3, 2, 2, 1)",1384441.5779122226
"(2, 2, 3, 1)",1384466.7696675297
"(3, 3, 1, 2)",1384481.2574660692
"(2, 3, 1, 2)",1384520.821990034
"(3, 2, 1, 2)",1384542.698837222
"(2, 2, 3, 0)",1384626.7594483122
"(3, 3, 0, 2)",1384630.7040816983
"(3, 3, 1, 1)",1384653.9316503073
"(3, 2, 0, 2)",1384683.4619747093
"(2, 3, 0, 2)",1384683.9558057967
"(3, 2, 1, 1)",1384698.989490692
"(3, 3, 2, 0)",1384746.9105625562
"(2, 3, 1, 1)",1384751.6364822907
"(2, 3, 2, 0)",1384769.0740833294
"(3, 1, 0, 3)",1384786.5509169367
"(3, 2, 2, 0)",1384792.0566659176
"(2, 1, 1, 3)",1384835.7200349376
"(2, 1, 0, 3)",1384838.632351529
"(3, 1, 2, 1)",1384882.4211941864
"(2, 1, 2, 1)",1384901.7735799192
"(3, 3, 0, 1)",1384916.5598233654
"(3, 3, 1, 0)",1384932.7920370223
"(3, 2, 0, 1)",1384947.590550192
"(2, 3, 0, 1)",1384959.7232039971
"(3, 2, 1, 0)",1384963.916138464
"(2, 3, 1, 0)",1384965.3058551927
"(3, 3, 0, 0)",1384994.0676058135
"(2, 3, 0, 0)",1384996.1690709095
"(2, 1, 1, 2)",1385016.267903194
"(3, 2, 0, 0)",1385049.072768173
"(2, 2, 0, 1)",1385068.8060071978
"(2, 1, 0, 0)",1385082.8771417083
"(3, 1, 0, 2)",1385121.6491247374
"(2, 2, 0, 0)",1385136.4081891973
"(2, 1, 0, 2)",1385156.6344095308
"(3, 1, 1, 1)",1385165.128820141
"(3, 1, 2, 0)",1385210.4082277487
"(2, 1, 1, 1)",1385214.9920477374
"(2, 1, 2, 0)",1385252.9200793991
"(3, 1, 0, 1)",1385369.9871290552
"(3, 1, 1, 0)",1385378.8148935502
"(3, 1, 0, 0)",1385436.1445847452
"(2, 1, 0, 1)",1385438.1448663694
"(2, 1, 1, 0)",1385447.316942288
"(2, 2, 0, 3)",1385730.254836652
"(3, 0, 1, 3)",1385961.8750582417
"(2, 2, 2, 1)",1386027.023929277
"(2, 2, 1, 2)",1386197.5217435746
"(0, 1, 3, 3)",1386409.3920362208
"(2, 2, 0, 2)",1386451.1333870685
"(0, 1, 2, 3)",1386494.1924720402
"(2, 2, 2, 0)",1386503.1359757287
"(2, 2, 1, 0)",1386561.61686067
"(0, 1, 3, 2)",1386715.2411802965
"(1, 3, 1, 3)",1386994.2458265524
"(2, 0, 1, 3)",1387084.5248594997
"(1, 2, 1, 3)",1387183.3179274246
"(1, 1, 1, 3)",1387582.7666030533
"(0, 1, 2, 2)",1388788.3481507094
"(1, 0, 1, 3)",1389146.101973211
"(0, 3, 1, 3)",1391381.0138430824
"(3, 0, 3, 1)",1391544.2747817563
"(1, 3, 3, 1)",1391698.3760037075
"(2, 0, 3, 1)",1391812.7410064687
"(3, 0, 2, 1)",1391840.0481765044
"(3, 0, 3, 0)",1391900.2525611154
"(1, 2, 3, 1)",1391976.1876505287
"(1, 1, 3, 1)",1391981.8907692481
"(3, 0, 0, 3)",1392023.3847339228
"(3, 0, 1, 2)",1392064.1355452342
"(3, 0, 0, 2)",1392166.3466226812
"(1, 3, 3, 0)",1392179.7482279742
"(2, 0, 3, 0)",1392225.464933081
"(2, 0, 2, 1)",1392276.7083702404
"(1, 3, 2, 1)",1392280.6441659806
"(3, 0, 2, 0)",1392315.0093220943
"(1, 3, 0, 2)",1392348.8185918105
"(1, 2, 3, 0)",1392382.2834380795
"(0, 2, 1, 3)",1392388.7657998544
"(1, 1, 3, 0)",1392425.898198783
"(1, 2, 2, 1)",1392443.829741416
"(1, 1, 2, 1)",1392548.6341877324
"(1, 3, 0, 3)",1392585.5665191577
"(2, 0, 0, 3)",1392602.2662916651
"(1, 3, 1, 2)",1392697.9580577286
"(2, 0, 1, 2)",1392706.311794908
"(1, 2, 0, 3)",1392782.1405378932
"(3, 0, 1, 1)",1392892.8728694886
"(1, 2, 1, 2)",1392901.2411141186
"(1, 0, 3, 1)",1392917.8083263272
"(2, 0, 0, 2)",1392935.5920363874
"(2, 0, 2, 0)",1392971.3755915526
"(1, 1, 0, 3)",1392971.4902270779
"(1, 3, 2, 0)",1393045.8524400354
"(1, 1, 1, 2)",1393133.4518178024
"(1, 2, 2, 0)",1393144.675426005
"(1, 2, 0, 2)",1393156.7626543853
"(3, 0, 0, 0)",1393176.071864041
"(3, 0, 0, 1)",1393176.9271168064
"(3, 0, 1, 0)",1393177.218706398
"(1, 1, 2, 0)",1393413.7360846444
"(1, 1, 0, 2)",1393462.0914705847
"(1, 0, 3, 0)",1393482.9414432906
"(1, 0, 2, 1)",1393787.6604565063
"(2, 0, 1, 1)",1393809.3776445389
"(1, 3, 1, 1)",1393909.0423281435
"(1, 2, 1, 1)",1393981.7809167602
"(2, 0, 0, 1)",1394011.9022698386
"(1, 3, 0, 1)",1394045.5649559612
"(2, 0, 1, 0)",1394046.3188077388
"(1, 3, 1, 0)",1394047.25481856
"(1, 3, 0, 0)",1394047.4222739632
"(2, 0, 0, 0)",1394155.1648998053
"(1, 2, 0, 1)",1394206.7927227975
"(1, 2, 1, 0)",1394267.0885451166
"(1, 1, 1, 1)",1394377.552816254
"(1, 0, 0, 3)",1394461.5502653138
"(1, 2, 0, 0)",1394464.2479951219
"(1, 1, 0, 1)",1394617.132707484
"(1, 1, 1, 0)",1394697.6987564017
"(1, 0, 1, 2)",1394792.0373668217
"(1, 1, 0, 0)",1394944.042692999
"(1, 0, 2, 0)",1395098.0355343658
"(0, 3, 3, 1)",1395227.9114570601
"(1, 0, 0, 2)",1395348.577695854
"(0, 3, 2, 1)",1395623.3392177837
"(0, 3, 3, 0)",1395716.656103373
"(0, 3, 0, 3)",1395822.271579607
"(0, 3, 1, 2)",1395868.6996336363
"(0, 3, 0, 2)",1395974.7982084341
"(0, 3, 2, 0)",1396234.7687702524
"(0, 3, 1, 1)",1396334.7712980038
"(1, 0, 1, 1)",1396459.6832411701
"(0, 2, 3, 1)",1396501.0595604312
"(0, 2, 2, 1)",1396526.5896096725
"(0, 2, 0, 3)",1396577.902108712
"(0, 2, 1, 2)",1396622.7224650101
"(0, 2, 3, 0)",1396716.0426961738
"(1, 0, 0, 1)",1396750.6201453025
"(0, 2, 0, 2)",1396761.7814994243
"(0, 2, 2, 0)",1396804.057565338
"(1, 0, 1, 0)",1396948.1698367952
"(0, 3, 0, 1)",1397036.1867531838
"(0, 3, 1, 0)",1397105.8910287775
"(0, 3, 0, 0)",1397163.30082852
"(0, 2, 1, 1)",1397418.356933283
"(1, 0, 0, 0)",1397463.9038299695
"(0, 2, 0, 1)",1397949.137643959
"(0, 2, 1, 0)",1398342.7943861638
"(0, 2, 0, 0)",1399208.0192034491
"(0, 1, 1, 3)",1401594.6018332378
"(0, 1, 3, 1)",1404706.8339312864
"(0, 1, 2, 1)",1404911.2931186093
"(0, 1, 0, 3)",1405255.046275248
"(0, 1, 1, 2)",1405294.2067359167
"(0, 1, 0, 2)",1405401.1360690189
"(0, 1, 3, 0)",1405777.8533607444
"(0, 1, 2, 0)",1406249.2838742763
"(0, 1, 1, 1)",1408306.398517515
"(0, 1, 0, 1)",1409371.204726966
"(0, 1, 1, 0)",1409380.2163812355
"(0, 1, 0, 0)",1409387.8539988145
"(0, 0, 3, 3)",1410911.8710728758
"(0, 0, 2, 3)",1418458.8569097626
"(0, 0, 1, 3)",1427784.2472369561
"(0, 0, 3, 2)",1431372.3792536322
"(0, 0, 2, 2)",1431540.7218484054
"(0, 0, 3, 1)",1433438.3912287713
"(0, 0, 2, 1)",1433485.7366899084
"(0, 0, 1, 2)",1433539.1783108814
"(0, 0, 0, 3)",1433594.7943070773
"(0, 0, 0, 2)",1433791.6249046728
"(0, 0, 3, 0)",1436018.1451309482
"(0, 0, 2, 0)",1436205.107274435
"(0, 0, 1, 1)",1444279.0515424104
"(0, 0, 0, 1)",1444491.8177745633
"(0, 0, 1, 0)",1445730.5031190831
"(0, 0, 0, 0)",1446241.2619673784
